[13.07.2022 | 18:58:07]Launching "DronsEngine Game" ...
[13.07.2022 | 18:58:07]Initialization...
[13.07.2022 | 18:58:08]Start game loop...
[13.07.2022 | 18:58:18][ERROR]EVENT 1!
[13.07.2022 | 18:58:18][WARNING]EVENT 2!
[13.07.2022 | 18:58:19]Resizing game window...
[13.07.2022 | 18:58:20][WARNING]EVENT 2!
[13.07.2022 | 18:58:20][WARNING]EVENT 2!
[13.07.2022 | 18:58:20][WARNING]EVENT 2!
[13.07.2022 | 18:58:20][WARNING]EVENT 2!
[13.07.2022 | 18:58:20][WARNING]EVENT 2!
[13.07.2022 | 18:58:20][WARNING]EVENT 2!
[13.07.2022 | 18:58:20][ERROR]EVENT 1!
[13.07.2022 | 18:58:20][ERROR]EVENT 1!
[13.07.2022 | 18:58:20][ERROR]EVENT 1!
[13.07.2022 | 18:58:20][ERROR]EVENT 1!
[13.07.2022 | 18:58:20][ERROR]EVENT 1!
[13.07.2022 | 18:58:20][ERROR]EVENT 1!
[13.07.2022 | 18:58:20][ERROR]EVENT 1!
[13.07.2022 | 18:58:20][ERROR]EVENT 1!
[13.07.2022 | 18:58:20][ERROR]EVENT 1!
[13.07.2022 | 18:58:20][ERROR]EVENT 1!
[13.07.2022 | 18:58:20][ERROR]EVENT 1!
[13.07.2022 | 18:58:20][ERROR]EVENT 1!
[13.07.2022 | 18:58:20][ERROR]EVENT 1!
[13.07.2022 | 18:58:20][WARNING]EVENT 2!
[13.07.2022 | 18:58:22][WARNING]EVENT 2!
[13.07.2022 | 18:58:22][WARNING]EVENT 2!
[13.07.2022 | 18:58:22][WARNING]EVENT 2!
[13.07.2022 | 18:58:22][WARNING]EVENT 2!
[13.07.2022 | 18:58:22][WARNING]EVENT 2!
[13.07.2022 | 18:58:22][WARNING]EVENT 2!
[13.07.2022 | 18:58:22][WARNING]EVENT 2!
[13.07.2022 | 18:58:22][WARNING]EVENT 2!
[13.07.2022 | 18:58:22][WARNING]EVENT 2!
[13.07.2022 | 18:58:22][WARNING]EVENT 2!
[13.07.2022 | 18:58:22][WARNING]EVENT 2!
[13.07.2022 | 18:58:22][WARNING]EVENT 2!
[13.07.2022 | 18:58:22][ERROR]EVENT 1!
[13.07.2022 | 18:58:22][ERROR]EVENT 1!
[13.07.2022 | 18:58:22][ERROR]EVENT 1!
[13.07.2022 | 18:58:22][ERROR]EVENT 1!
[13.07.2022 | 18:58:22][WARNING]EVENT 2!
[13.07.2022 | 18:58:22][WARNING]EVENT 2!
[13.07.2022 | 18:58:22][WARNING]EVENT 2!
[13.07.2022 | 18:58:22][WARNING]EVENT 2!
[13.07.2022 | 18:58:22][WARNING]EVENT 2!
[13.07.2022 | 18:58:22][WARNING]EVENT 2!
[13.07.2022 | 18:58:22][WARNING]EVENT 2!
[13.07.2022 | 18:58:22][WARNING]EVENT 2!
[13.07.2022 | 18:58:22][ERROR]EVENT 1!
[13.07.2022 | 18:58:22][ERROR]EVENT 1!
[13.07.2022 | 18:58:23][ERROR]EVENT 1!
[13.07.2022 | 18:58:23][ERROR]EVENT 1!
[13.07.2022 | 18:58:23][ERROR]EVENT 1!
[13.07.2022 | 18:58:23][ERROR]EVENT 1!
[13.07.2022 | 18:58:23][ERROR]EVENT 1!
[13.07.2022 | 18:58:23][ERROR]EVENT 1!
[13.07.2022 | 18:58:23][ERROR]EVENT 1!
[13.07.2022 | 18:58:23][ERROR]EVENT 1!
[13.07.2022 | 18:58:23][ERROR]EVENT 1!
[13.07.2022 | 18:58:23][ERROR]EVENT 1!
[13.07.2022 | 18:58:23][ERROR]EVENT 1!
[13.07.2022 | 18:58:23][ERROR]EVENT 1!
[13.07.2022 | 18:58:23][ERROR]EVENT 1!
[13.07.2022 | 18:58:23][WARNING]EVENT 2!
[13.07.2022 | 18:58:24][WARNING]EVENT 2!
[13.07.2022 | 18:58:24][WARNING]EVENT 2!
[13.07.2022 | 18:58:24][WARNING]EVENT 2!
[13.07.2022 | 18:58:24][WARNING]EVENT 2!
[13.07.2022 | 18:58:24][WARNING]EVENT 2!
[13.07.2022 | 18:58:24][WARNING]EVENT 2!
[13.07.2022 | 18:58:24][WARNING]EVENT 2!
[13.07.2022 | 18:58:24][WARNING]EVENT 2!
[13.07.2022 | 18:58:24][WARNING]EVENT 2!
[13.07.2022 | 18:58:24][WARNING]EVENT 2!
[13.07.2022 | 18:58:24][WARNING]EVENT 2!
[13.07.2022 | 18:58:24][WARNING]EVENT 2!
[13.07.2022 | 18:58:24][ERROR]EVENT 1!
[13.07.2022 | 18:58:24][ERROR]EVENT 1!
[13.07.2022 | 18:58:24][ERROR]EVENT 1!
[13.07.2022 | 18:58:24][ERROR]EVENT 1!
[13.07.2022 | 18:58:24][ERROR]EVENT 1!
[13.07.2022 | 18:58:24][ERROR]EVENT 1!
[13.07.2022 | 18:58:24][ERROR]EVENT 1!
[13.07.2022 | 18:58:24][ERROR]EVENT 1!
[13.07.2022 | 18:58:24][ERROR]EVENT 1!
[13.07.2022 | 18:58:24][ERROR]EVENT 1!
[13.07.2022 | 18:58:24][WARNING]EVENT 2!
[13.07.2022 | 18:58:24][WARNING]EVENT 2!
[13.07.2022 | 18:58:24][WARNING]EVENT 2!
[13.07.2022 | 18:58:24][WARNING]EVENT 2!
[13.07.2022 | 18:58:24][WARNING]EVENT 2!
[13.07.2022 | 18:58:24][WARNING]EVENT 2!
[13.07.2022 | 18:58:24][ERROR]EVENT 1!
[13.07.2022 | 18:58:25][ERROR]EVENT 1!
[13.07.2022 | 18:58:25][ERROR]EVENT 1!
[13.07.2022 | 18:58:25][ERROR]EVENT 1!
[13.07.2022 | 18:58:25][ERROR]EVENT 1!
[13.07.2022 | 18:58:25][ERROR]EVENT 1!
[13.07.2022 | 18:58:25][ERROR]EVENT 1!
[13.07.2022 | 18:58:25][ERROR]EVENT 1!
[13.07.2022 | 18:58:25][ERROR]EVENT 1!
[13.07.2022 | 18:58:25][WARNING]EVENT 2!
