[14.07.2022 | 17:55:20] Launching "DronsEngine Game"...
[14.07.2022 | 17:55:20] Initialization...
[14.07.2022 | 17:55:20] Start game loop...
[14.07.2022 | 17:56:28] Launching "DronsEngine Game"...
[14.07.2022 | 17:56:29] Initialization...
[14.07.2022 | 17:56:29] Start game loop...
[14.07.2022 | 17:56:34][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:34][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:34][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:34][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:34][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:34][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:34][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:34][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:34][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:34][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:37] Resizing game window...
[14.07.2022 | 17:56:38][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:38][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:38][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:38][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:38][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:38][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:38][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:39][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:39][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:39][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:39][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:39][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:39][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:39][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:39][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:39][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:39][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:39][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:39][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:39][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:39][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:39][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:39][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:40][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:40][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:40][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:40][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:40][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:40][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:40][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:40][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:40][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:41][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:41][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:41][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:41][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:41][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:41][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:41][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:41][  ERROR  ] EVENT 1!
[14.07.2022 | 17:56:41][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:41][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:41][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:41][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:41][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:41][ WARNING ] EVENT 2!
[14.07.2022 | 17:56:42] Exiting...
[14.07.2022 | 17:57:25] Launching "DronsEngine Game"...
[14.07.2022 | 17:57:26] Initialization...
[14.07.2022 | 17:57:26] Start game loop...
[14.07.2022 | 17:57:27][ WARNING ] EVENT 2!
[14.07.2022 | 17:57:27][ WARNING ] EVENT 2!
[14.07.2022 | 17:57:27][ WARNING ] EVENT 2!
[14.07.2022 | 17:57:27][ WARNING ] EVENT 2!
[14.07.2022 | 17:57:27][ WARNING ] EVENT 2!
[14.07.2022 | 17:57:27][ WARNING ] EVENT 2!
[14.07.2022 | 17:57:27][  ERROR  ] EVENT 1!
[14.07.2022 | 17:57:27][  ERROR  ] EVENT 1!
[14.07.2022 | 17:57:27][  ERROR  ] EVENT 1!
[14.07.2022 | 17:57:27][  ERROR  ] EVENT 1!
[14.07.2022 | 17:57:27][  ERROR  ] EVENT 1!
[14.07.2022 | 17:57:27][  ERROR  ] EVENT 1!
[14.07.2022 | 17:57:28][  ERROR  ] EVENT 1!
[14.07.2022 | 17:57:28][  ERROR  ] EVENT 1!
[14.07.2022 | 17:57:28][ WARNING ] EVENT 2!
