[06.08.2025 | 01:51:42] [INFO ][Game] Launching "DronsEngine Game"...
[06.08.2025 | 01:51:42] [INFO ][Game] Initialization...
[06.08.2025 | 01:51:43] [DEBUG][State System] Starting Scene state...
[06.08.2025 | 01:51:43] [INFO ][Game Loop] Start game loop...
[06.08.2025 | 01:51:44] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:51:44] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:51:44] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:44] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:44] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:44] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:44] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:44] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:44] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:44] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:44] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:44] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:44] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:44] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:44] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:44] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:51:48] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:51:48] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:48] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:48] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:48] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:48] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:48] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:48] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:48] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:48] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:48] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:48] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:49] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:51:49] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:51:49] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:51:49] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:51:50] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:51:50] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:51:50] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:51:50] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:51:50] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:50] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:51:56] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:51:56] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:51:56] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:56] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:56] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:56] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:56] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:51:57] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:51:57] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:51:57] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:57] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:51:57] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:51:57] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:57] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:58] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:51:58] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:51:59] [INFO ][Game Loop] Exiting...
[06.08.2025 | 01:51:59] [DEBUG][State System] Ending Scene state...



[06.08.2025 | 01:56:17] [INFO ][Game] Launching "DronsEngine Game"...
[06.08.2025 | 01:56:18] [INFO ][Game] Initialization...
[06.08.2025 | 01:56:18] [DEBUG][State System] Starting Scene state...
[06.08.2025 | 01:56:18] [INFO ][Game Loop] Start game loop...
[06.08.2025 | 01:56:19] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:56:19] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:56:19] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:56:19] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:56:19] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:56:19] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:56:19] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:56:19] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:56:20] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:56:20] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:56:23] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:56:23] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:56:23] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:56:23] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:56:23] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:56:23] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:56:23] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:56:23] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:56:23] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:56:23] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:56:23] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:56:23] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:56:23] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:56:23] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:56:23] [DEBUG][Physics Engine] EVENT 2!
[06.08.2025 | 01:56:26] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:56:26] [DEBUG][Physics Engine] EVENT 1!
[06.08.2025 | 01:56:26] [DEBUG][Physics Engine] EVENT 1!
